"iddatasensor","rxid","rxantid","rxfw","mac","serv","rssi","fw","seq","date","state","error","batt","temp","ax","ay","az","gx","gy","gz","len","gwid","peak","g","a","fechaformato","rpm","idequipo","vrms"
13243087,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:38:48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904123848",NULL,16,NULL
13242782,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:33:33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904123333",NULL,16,NULL
13242481,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:28:13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904122813",NULL,16,NULL
13242169,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"Operador1",NULL,"2026-09-04 12:22:48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904122248",NULL,16,NULL
13242026,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:20:22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904122022",NULL,16,NULL
13241862,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:10:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904121007",NULL,16,NULL
13241824,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:07:11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904120711",NULL,16,NULL
13241765,NULL,NULL,"985546753983","11-11-11-11-11-11","16",NULL,"Operador2",NULL,"2026-09-04 12:06:10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904120610",NULL,16,NULL
13241723,NULL,NULL,"287203685958","11-11-11-11-11-11","16",NULL,"rechazada",NULL,"2026-09-04 12:05:30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904120530",NULL,16,NULL
13241646,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:04:08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904120408",NULL,16,NULL
13241583,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 12:02:57",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904120257",NULL,16,NULL
13241418,NULL,NULL,"287203685958","11-11-11-11-11-11","16",NULL,"rechazada",NULL,"2026-09-04 11:59:54",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904115954",NULL,16,NULL
13241399,NULL,NULL,"985546753983","11-11-11-11-11-11","16",NULL,"Operador2",NULL,"2026-09-04 11:59:31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904115931",NULL,16,NULL
13241366,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"Operador1",NULL,"2026-09-04 11:58:51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904115851",NULL,16,NULL
13241340,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 11:58:25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904115825",NULL,16,NULL
13241180,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 11:55:48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904115548",NULL,16,NULL
13241081,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"guardian",NULL,"2026-09-04 11:52:11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904115211",NULL,16,NULL
13241041,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 11:51:34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904115134",NULL,16,NULL
13240917,NULL,NULL,"985546753983","11-11-11-11-11-11","16",NULL,"rechazada",NULL,"2026-09-04 11:49:14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904114914",NULL,16,NULL
13240745,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 11:46:03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904114603",NULL,16,NULL
13240680,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"guardian",NULL,"2026-09-04 11:44:37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904114437",NULL,16,NULL
13240646,NULL,NULL,NULL,"11-11-11-11-11-11","16",NULL,NULL,NULL,"2026-09-04 11:44:05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","1",NULL,NULL,"20260904114405",NULL,16,NULL
13240619,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"guardian",NULL,"2026-09-04 11:43:42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904114342",NULL,16,NULL
13240616,NULL,NULL,"985546753983","11-11-11-11-11-11","16",NULL,"rechazada",NULL,"2026-09-04 11:43:38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904114338",NULL,16,NULL
13240553,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"guardian",NULL,"2026-09-04 11:42:33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904114233",NULL,16,NULL
13240356,NULL,NULL,"1042151049051","11-11-11-11-11-11","16",NULL,"guardian",NULL,"2026-09-04 11:39:04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","0",NULL,NULL,"20260904113904",NULL,16,NULL
