fecha_carga,produccion_real,id_nivel_3,id_unidad,produccion_propuesta,produccion_propia_real,produccion_propia_propuesta,produccion_tercero_real,produccion_tercero_propuesta,costo_real_propio,costo_propuesto_propio,costo_real_tercero,costo_propuesto_tercero
2022-01-01,"13764,2923848",2,1,"12891,5925128","13764,2923848","12891,5925128",0,0,"5331745,90574967000","6011659,45638238000",0,0
2022-02-01,"12695,477648",2,1,"12312,4554642","12695,477648","12312,4554642",0,0,"4418734,66000000000","5041782,29043397000",0,0
2022-03-01,"13849,4743579",2,1,"14531,0993604","13849,4743579","14531,0993604",0,0,"4213814,86500000000","5098564,72893641000",0,0
2022-04-01,"13882,6705448",2,1,"14507,6368034","13882,6705448","14507,6368034",0,0,"6424607,68660623000","5041782,29043397000",0,0
2022-05-01,"13020,2661914",2,1,"13758,4739412","13020,2661914","13758,4739412",0,0,"5493514,11231728000","5068280,76173511000",0,0
2022-06-01,"4292,6487876",2,1,"12108,5538034","4292,6487876","12108,5538034",0,0,"4077420,77762065000","5011498,32323268000",0,0
2022-07-01,"9506,99955",2,1,"12793,9917124","9506,99955","12793,9917124",0,0,"3688050,85998772000","5068280,76173511000",0,0
2022-08-01,"12993,7024951",2,1,"12313,2101642","12993,7024951","12313,2101642",0,0,"5782499,37123932000","5011498,32323268000",0,0
2022-09-01,"13575,487",2,1,"12942,2775959","13575,487","12942,2775959",0,0,"5435978,93527250000","5011498,32323268000",0,0
2022-10-01,"15292,845",2,1,"13303,5136419","15292,845","13303,5136419",0,0,"5516710,86973951000","5068280,76173511000",0,0
2022-11-01,"13408,5500537",2,1,"12819,6986569","13408,5500537","12819,6986569",0,0,"6266535,98066954000","5011498,32323268000",0,0
2022-12-01,"9457,1030207",2,1,"13016,9990275","9457,1030207","13016,9990275",0,0,"5924549,74497393000","5011498,32323268000",0,0
2023-01-01,"12629,9622772",2,1,"14410,8300274","12629,9622772","14410,8300274",0,0,"6344723,38565452000","5799247,51090498000",0,0
2023-02-01,"12490,0345278",2,1,"12455,9583151","12490,0345278","12455,9583151",0,0,"5126602,08544221000","5523450,14731987000",0,0
2023-03-01,"13451,4276602",2,1,"13539,1410274","13451,4276602","13539,1410274",0,0,"5457881,81208332000","5472943,15207146000",0,0
2023-04-01,"13235,6081817",2,1,"13212,3381232","13235,6081817","13212,3381232",0,0,"5479723,91493138000","5485329,95628811000",0,0
2023-05-01,"13756,4462184",2,1,"13372,9787866","13756,4462184","13372,9787866",0,0,"5529877,20153419000","5542662,24178965000",0,0
2023-06-01,"13478,3477803",2,1,"12340,2501232","13478,3477803","12340,2501232",0,0,"6495177,58971423000","5396816,39352168000",0,0
2023-07-01,"13812,9857107",2,1,"12613,9390273","13812,9857107","12613,9390273",0,0,"5717907,71537503000","5473689,30490792000",0,0
2023-08-01,"13440,774626",2,1,"11782,7850273","13440,774626","11782,7850273",0,0,"5505533,68469016000","5509837,01221874000",0,0
2023-09-01,"13082,6676191",2,1,"13045,9411232","13082,6676191","13045,9411232",0,0,"5497889,39774480000","5464854,87656041000",0,0
2023-10-01,"13759,766328",2,1,"13796,0210273","13759,766328","13796,0210273",0,0,"6278682,23900423000","5376363,51883869000",0,0
2023-11-01,"13412,2318225",2,1,"13539,3441232","13412,2318225","13539,3441232",0,0,"5110917,66637799000","5406357,56111004000",0,0
2023-12-01,"12185,9335503",2,1,"14203,3510273","12185,9335503","14203,3510273",0,0,"6516174,47850207000","5340147,78144300000",0,0
2024-01-01,"13018,8956041",2,1,"13352,9385478","13018,8956041","13352,9385478",0,0,"5350194,74160406000","5799247,51090498000",0,0
2024-02-01,"12514,0679366",2,1,"12364,2482239","12514,0679366","12364,2482239",0,0,"5682362,42496746000","5523450,14731987000",0,0
2024-03-01,"13361,066878106",2,1,"11957,3922618","13361,066878106","11957,3922618",0,0,"4868893,73959757000","5472943,15207146000",0,0
2024-04-01,"13541,7571725192",2,1,"13115,0406732","13541,7571725192","13115,0406732",0,0,"6119742,71510315000","5485329,95628811000",0,0
2024-05-01,"12980,9322781",2,1,"12957,7374376","12980,9322781","12957,7374376",0,0,"5847866,39174956000","5542662,24178965000",0,0
2024-06-01,"11030,5279179",2,1,"12064,4548408","11030,5279179","12064,4548408",0,0,"5650183,10761804000","5396816,39352168000",0,0
2024-07-01,"12761,1654412",2,1,"11797,3743355","12761,1654412","11797,3743355",0,0,"5925168,79364096000","5473689,30490792000",0,0
2024-08-01,"11587,038",2,1,"12756,6358099","11587,038","12756,6358099",0,0,"5932809,60248727000","5509837,01221874000",0,0
2024-09-01,"12965,9538329",2,1,"12525,007982","12965,9538329","12525,007982",0,0,"6596401,23381102000","5464854,87656041000",0,0
2024-10-01,"11620,9098792",2,1,"13101,1905887","11620,9098792","13101,1905887",0,0,"5523981,05563589000","5376363,51883869000",0,0
2024-11-01,"11848,1205908",2,1,"14015,7206641","11848,1205908","14015,7206641",0,0,"6793686,56957922000","5406357,56111004000",0,0
2024-12-01,"11893,4968621",2,1,"13772,8567667","11893,4968621","13772,8567667",0,0,"5426794,02839597000","5340147,78144300000",0,0
